Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,Dole Plantation,64-1550 Kamehameha Hwy,Located near parking lot entrance by the bus stop,Wahiawa,HI,96786,,808-543-4638,E,,Public,10am-5pm daily,,,,,,,2,,OpConnect,http://www.opconnect.com/,GPS,21.5258,-158.0387,2018-03-08,71488,2019-01-17 00:33:46 UTC,P,,,2015-06-01,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Koolau Center,47-388 Hui Iwa St,Located near main shopping center entrance across from McDonald's,Kaneohe,HI,96744,,808-988-0224,E,,Public,24 hours daily,,,,,,2,2,,OpConnect,http://www.opconnect.com/,GPS,21.436,-157.8258,2018-03-08,75428,2019-01-17 00:33:46 UTC,P,,,2016-04-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,
ELEC,7-Eleven Hawaii Kai,515 Pepeekeo St,,Honolulu,HI,96825,,808-395-7111,E,,Public,24 hours daily,,,,,,1,2,,OpConnect,http://www.opconnect.com/,GPS,21.2942,-157.71054,2018-03-08,75435,2019-01-17 00:33:46 UTC,P,,,2016-04-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,
ELEC,Dunes at Maui Lani Golf Course,1333 Maui Lani Pkwy,Located in the parking lot,Kahului,HI,96732,,808-873-0422,E,,Public,24 hours daily; for member use only,,,,,,1,2,,,,GPS,20.86693,-156.4743,2018-05-03,81306,2019-01-17 00:33:46 UTC,P,,,2017-01-01,,,,,CHADEMO J1772,US,,,,Public,,public,,
ELEC,Lahaina Aquatic Center,245 Shaw St,Located across from Lahaina Recreation,Lahaina,HI,96761,,808-661-7611,E,,Public,24 hours daily; for member use only,,,,,,1,2,,,,GPS,20.86956,-156.67145,2018-05-03,81308,2019-01-17 00:33:46 UTC,P,,,2017-01-01,,,,,CHADEMO J1772,US,,,,Public,,public,,
ELEC,J. Walter Cameron Center,2295 N King St,"Upon entering the J. Walter Cameron Center, take an immediate right toward the Police Station. The chargers are located on the right hand side, facing Mahalani Street",Wailuku,HI,96793,,808-244-5546,E,,Public,24 hours daily,,,,,,,4,,,,GPS,20.887,-156.48835,2018-05-03,81335,2019-01-17 00:33:46 UTC,P,,,2017-01-01,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Hawaiian Electric,801 Dillingham,,Honolulu,HI,96817,,855-885-9571,E,,Public,24 hours daily,,,,,,,1,,OpConnect,http://www.opconnect.com/,200-9,21.318014,-157.869462,2018-03-08,92105,2019-01-17 00:33:46 UTC,P,,,2017-08-01,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43005,"68-1330 Mauna Lani Dr,",,Kamuela,HI,96743,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,19.9411106109619,-155.858093261719,2019-01-04,98917,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43109,4470 Kapolei Parkway,,Kapolei,HI,96707,,855-900-7584,E,,Public,24 hours daily,,,,,,,1,,Greenlots,http://greenlots.com/,GPS,21.329309463501,-158.092315673828,2019-01-04,99092,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Greenlots - 43127,820 Ward Avenue,,Honolulu,HI,96814,,855-900-7584,E,,Public,24 hours daily,,,,,,,4,,Greenlots,http://greenlots.com/,200-8,21.300198,-157.851908,2019-01-04,99100,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43113,65-1158 Mamalahoa Highway,,Waimea,HI,96743,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,20.0227336883545,-155.667327880859,2019-01-04,99106,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43111,1200 Kilauea Avenue,,Hilo,HI,96720,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,19.7109432220459,-155.076751708984,2019-01-04,99107,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43112,74-5519 Kaiwi Street,,Kailua-Kona,HI,96740,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,19.645206451416,-156.000915527344,2019-01-04,99108,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43216,810 Haiku Rd,,Haiku,HI,96708,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,20.9137268066406,-156.322937011719,2019-01-04,99272,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43214,16-586 Old Volcano Rd,,Kea’au,HI,96749,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,19.6222629547119,-155.03971862793,2019-01-04,99284,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43213,35-2032 Old Mamalahoa Highway,,Papa'aloa,HI,96780,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,19.9764308929443,-155.219589233398,2019-01-04,99289,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43215,210 W Kamehameha Ave,,Kahului,HI,96732,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,20.8845996856689,-156.47200012207,2019-01-04,103574,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43218,98-1268 Kaahumanu St,,Pearl City,HI,96782,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,21.3888492584229,-157.954681396484,2019-01-04,116744,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
ELEC,Greenlots - 43160,64 Ala Malama St,,Kaunakakai,HI,96748,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,Greenlots,http://greenlots.com/,GPS,21.090539932251,-157.02131652832,2019-01-04,116745,2019-01-04 10:39:43 UTC,,,,,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,
